id,qname,heading,text,type,diagram,website,updated
,Article,Article,"An article, such as a news article or piece of investigative report. Newspapers and magazines have articles of many different types and this is intended to cover them all.\n\nSee also [blog post](https://blog.schema.org/2014/09/02/schema-org-support-for-bibliographic-relationships-and-periodicals/).",Class,http://schema.org/diagrams/Article.dot.svg,http://schema.org/Article,2026-07-24T12:31:48.132193
,UserDownloads,UserDownloads,"UserInteraction and its subtypes is an old way of talking about users interacting with pages. It is generally better to use [[Action]]-based vocabulary, alongside types such as [[Comment]].",Class,http://schema.org/diagrams/UserDownloads.dot.svg,http://schema.org/UserDownloads,2026-07-24T12:31:48.132193
,FMRadioChannel,FMRadioChannel,A radio channel that uses FM.,Class,http://schema.org/diagrams/FMRadioChannel.dot.svg,http://schema.org/FMRadioChannel,2026-07-24T12:31:48.132193
,AssignAction,AssignAction,The act of allocating an action/event/task to some destination (someone or something).,Class,http://schema.org/diagrams/AssignAction.dot.svg,http://schema.org/AssignAction,2026-07-24T12:31:48.132193
,GeoShape,GeoShape,The geographic shape of a place. A GeoShape can be described using several properties whose values are based on latitude/longitude pairs. Either whitespace or commas can be used to separate latitude and longitude; whitespace should be used when writing a list of several such points.,Class,http://schema.org/diagrams/GeoShape.dot.svg,http://schema.org/GeoShape,2026-07-24T12:31:48.132193
,WriteAction,WriteAction,The act of authoring written creative content.,Class,http://schema.org/diagrams/WriteAction.dot.svg,http://schema.org/WriteAction,2026-07-24T12:31:48.132193
,AdministrativeArea,AdministrativeArea,"A geographical region, typically under the jurisdiction of a particular government.",Class,http://schema.org/diagrams/AdministrativeArea.dot.svg,http://schema.org/AdministrativeArea,2026-07-24T12:31:48.132193
,MonetaryAmountDistribution,MonetaryAmountDistribution,A statistical distribution of monetary amounts.,Class,http://schema.org/diagrams/MonetaryAmountDistribution.dot.svg,http://schema.org/MonetaryAmountDistribution,2026-07-24T12:31:48.132193
,HowToSupply,HowToSupply,A supply consumed when performing the instructions for how to achieve a result.,Class,http://schema.org/diagrams/HowToSupply.dot.svg,http://schema.org/HowToSupply,2026-07-24T12:31:48.132193
,MusicRecording,MusicRecording,"A music recording (track), usually a single song.",Class,http://schema.org/diagrams/MusicRecording.dot.svg,http://schema.org/MusicRecording,2026-07-24T12:31:48.132193
,CafeOrCoffeeShop,CafeOrCoffeeShop,A cafe or coffee shop.,Class,http://schema.org/diagrams/CafeOrCoffeeShop.dot.svg,http://schema.org/CafeOrCoffeeShop,2026-07-24T12:31:48.132193
,ConfirmAction,ConfirmAction,The act of notifying someone that a future event/action is going to happen as expected.\n\nRelated actions:\n\n* [[CancelAction]]: The antonym of ConfirmAction.,Class,http://schema.org/diagrams/ConfirmAction.dot.svg,http://schema.org/ConfirmAction,2026-07-24T12:31:48.132193
,MedicalTrial,MedicalTrial,"A medical trial is a type of medical study that uses a scientific process to compare the safety and efficacy of medical therapies or medical procedures. In general, medical trials are controlled and subjects are allocated at random to the different treatment and/or control groups.",Class,http://schema.org/diagrams/MedicalTrial.dot.svg,http://schema.org/MedicalTrial,2026-07-24T12:31:48.132193
,PhysiciansOffice,PhysiciansOffice,A doctor's office or clinic.,Class,http://schema.org/diagrams/PhysiciansOffice.dot.svg,http://schema.org/PhysiciansOffice,2026-07-24T12:31:48.132193
,WebAPI,WebAPI,An application programming interface accessible over Web/Internet technologies.,Class,http://schema.org/diagrams/WebAPI.dot.svg,http://schema.org/WebAPI,2026-07-24T12:31:48.132193
,BookStore,BookStore,A bookstore.,Class,http://schema.org/diagrams/BookStore.dot.svg,http://schema.org/BookStore,2026-07-24T12:31:48.132193
,RealEstateAgent,RealEstateAgent,A real-estate agent.,Class,http://schema.org/diagrams/RealEstateAgent.dot.svg,http://schema.org/RealEstateAgent,2026-07-24T12:31:48.132193
,GamePlayMode,GamePlayMode,"Indicates whether this game is multi-player, co-op or single-player.",Class,http://schema.org/diagrams/GamePlayMode.dot.svg,http://schema.org/GamePlayMode,2026-07-24T12:31:48.132193
,MapCategoryType,MapCategoryType,An enumeration of several kinds of Map.,Class,http://schema.org/diagrams/MapCategoryType.dot.svg,http://schema.org/MapCategoryType,2026-07-24T12:31:48.132193
